Account,Opportunity_ID,Sales_Agent,Deal_Stage,Product,Created_Date,Close_Date,Close_Value
Cancity,1C1I7A6R,Moses Frase,Won,GTX Plus Basic,10/20/16,3/1/17,1054
Isdom,Z063OYW0,Darcel Schlecht,Won,GTXPro,10/25/16,3/11/17,4514
Cancity,EC4QE1BX,Darcel Schlecht,Won,MG Special,10/25/16,3/7/17,50
Codehow,MV1LWRNH,Moses Frase,Won,GTX Basic,10/25/16,3/9/17,588
Hatfan,PE84CX4O,Zane Levy,Won,GTX Basic,10/25/16,3/2/17,517
Ron-tech,ZNBS69V1,Anna Snelling,Won,MG Special,10/29/16,3/1/17,49
J-Texon,9ME3374G,Vicki Laflamme,Won,MG Special,10/30/16,3/2/17,57
Cheers,7GN8Q4LL,Markita Hansen,Won,GTX Basic,11/1/16,3/7/17,601
Zumgoity,OLK9LKZB,Niesha Huffines,Won,GTX Plus Basic,11/1/16,3/3/17,1026
,HAXMC4IX,James Ascencio,In Progress,MG Advanced,11/3/16,,
Bioholding,NL3JZH1Z,Anna Snelling,Won,MG Special,11/4/16,3/10/17,53
Genco Pura Olive Oil Company,KWVA7VR1,Gladys Colclough,Lost,GTXPro,11/4/16,3/18/17,0
Sunnamplex,S8DX3XOU,James Ascencio,Won,GTX Plus Pro,11/4/16,3/10/17,5169
Sonron,ENB2XD8G,Maureen Marcano,Won,GTX Plus Pro,11/4/16,3/6/17,4631
Finjob,09YE9QOV,Hayden Neloms,Won,MG Advanced,11/5/16,3/11/17,3393
Sonron,3F5MZNEH,Rosalina Dieter,Lost,MG Special,11/5/16,3/3/17,0
Scotfind,M6WEJXC0,Rosalina Dieter,Won,MG Advanced,11/5/16,3/6/17,3284
Treequote,6PTR7VBR,Versie Hillebrand,Won,MG Special,11/6/16,3/5/17,61
Xx-zobam,902REDPA,Daniell Hammack,Lost,GTXPro,11/7/16,3/9/17,0
Rantouch,5J9CMGDV,Elease Gluck,Won,MG Special,11/7/16,3/8/17,46
Fasehatice,JJXRR8R6,James Ascencio,Lost,GTX Plus Pro,11/7/16,3/17/17,0
Ron-tech,WF4HA5NW,Moses Frase,Won,MG Special,11/7/16,3/18/17,50
Vehement Capital Partners,C5K2JP1H,Violet Mclelland,Won,GTX Plus Basic,11/7/16,3/11/17,1014
Warephase,ADRB8OMB,Darcel Schlecht,Won,GTX Basic,11/8/16,3/26/17,561
Zoomit,SBCR987L,Kami Bicknell,Won,GTX Basic,11/10/16,3/23/17,590
Ganjaflex,UP409DSB,Maureen Marcano,In Progress,MG Advanced,11/10/16,,
Bioholding,JSD4APT2,Versie Hillebrand,Won,MG Special,11/10/16,3/12/17,61
Xx-zobam,AO9Z2D17,Violet Mclelland,Lost,GTX Plus Pro,11/10/16,3/11/17,0
Cheers,5M58DTJK,Elease Gluck,Won,MG Special,11/11/16,3/5/17,58
Labdrill,KNY1OSAB,Maureen Marcano,Won,GTXPro,11/11/16,3/14/17,4899
Zotware,EAZDUUM9,Rosie Papadopoulos,Lost,MG Advanced,11/11/16,3/1/17,0
dambase,2STUSOFE,Versie Hillebrand,Won,MG Special,11/11/16,3/3/17,67
Xx-holding,JYKM0B00,James Ascencio,Won,GTXPro,11/12/16,3/6/17,4338
Fasehatice,KU28360J,Kary Hendrixson,Won,GTX Basic,11/12/16,3/19/17,578
Acme Corporation,N4SD17JR,Reed Clapper,Won,GTX Basic,11/12/16,3/1/17,556
Green-Plus,E67P9Y3Q,Rosalina Dieter,Won,GTX Basic,11/12/16,3/3/17,635
The New York Inquirer,AT3MMVIS,Wilburn Farren,Won,MG Advanced,11/12/16,3/7/17,3045
Mathtouch,REJ11LRY,Garret Kinder,Won,GTX Plus Basic,11/13/16,3/14/17,1233
Zumgoity,ERV0CAZ7,Versie Hillebrand,Won,MG Special,11/13/16,3/9/17,60
Gogozoom,8SOQADK7,Anna Snelling,Lost,MG Special,11/14/16,3/30/17,0
Stanredtax,TCHFT25B,Darcel Schlecht,Lost,GTX Basic,11/14/16,3/8/17,0
Konmatfix,CZVN09WN,Darcel Schlecht,Won,GTX Plus Basic,11/14/16,3/20/17,1170
,EG7OFLFR,Kami Bicknell,In Progress,GTX Basic,11/14/16,,
Genco Pura Olive Oil Company,30UQWUKB,Marty Freudenburg,Won,GTX Plus Basic,11/15/16,3/20/17,1162
,OLVI7L8M,Cassey Cress,In Progress,GTXPro,11/16/16,,
Conecom,97UN20YY,Darcel Schlecht,Won,MG Advanced,11/16/16,3/14/17,3725
Golddex,JXLERZ9O,Kary Hendrixson,Won,GTX Basic,11/16/16,3/31/17,559
Plexzap,6ROE69W5,Rosalina Dieter,Lost,GTX Basic,11/16/16,3/11/17,0
Rundofase,0DFXFKT7,Darcel Schlecht,Lost,GTX Plus Basic,11/17/16,3/21/17,0
Sonron,XKMZVSN4,James Ascencio,Won,GTX Plus Pro,11/17/16,3/5/17,4667
Finhigh,IU8V0BZK,Marty Freudenburg,Won,GTX Plus Basic,11/17/16,3/17/17,903
Finjob,XY42936P,Maureen Marcano,Won,GTX Plus Basic,11/17/16,3/13/17,1180
Ron-tech,XRN54MBM,Niesha Huffines,Won,GTX Basic,11/17/16,3/5/17,487
Stanredtax,2V848WZD,Lajuana Vencill,Won,MG Advanced,11/18/16,3/4/17,3180
