sales_agent,account,product,order_value,create_date
Corliss Cosme,Zencorporation,GTXPro,5133,2022-06-28
Gladys Colclough,Toughzap,GTXPro,4498,2022-06-15
Hayden Neloms,Fasehatice,MG Advanced,3763,2022-06-04
Markita Hansen,Y-corporation,GTX Plus Pro,5503,2022-06-04
Zane Levy,Scotfind,GTX Plus Basic,1220,2022-06-02
Anna Snelling,Conecom,GTX Plus Basic,1056,2022-06-10
Darcel Schlecht,Gogozoom,GTXPro,5643,2022-06-28
Moses Frase,Bioholding,GTX Basic,516,2022-06-16
Moses Frase,Condax,GTX Plus Basic,956,2022-06-06
Reed Clapper,The New York Inquirer,GTXPro,5618,2022-06-10
Jonathan Berthelot,Hottechi,GTX Plus Basic,1055,2022-06-16
Violet Mclelland,Massive Dynamic,MG Advanced,3246,2022-06-06
Cassey Cress,Initech,GTX Basic,542,2022-06-18
Darcel Schlecht,Cancity,MG Advanced,3295,2022-06-13
Donn Cantrell,Plussunin,GTX Basic,568,2022-06-02
Marty Freudenburg,Scottech,GTX Plus Basic,1081,2022-06-30
Reed Clapper,Xx-zobam,MG Advanced,3075,2022-06-10
Wilburn Farren,Konex,MG Advanced,3336,2022-06-02
Gladys Colclough,Dontechi,GTXPro,5142,2022-06-08
Versie Hillebrand,Domzoom,MG Special,61,2022-06-18
Anna Snelling,dambase,GTX Basic,574,2022-06-04
Gladys Colclough,Cancity,GTX Plus Basic,1008,2022-06-24
Gladys Colclough,Zumgoity,GTXPro,4458,2022-06-22
James Ascencio,Dalttechnology,MG Advanced,3813,2022-06-05
Kary Hendrixson,Kan-code,GTXPro,3893,2022-06-19
Lajuana Vencill,Bioholding,GTX Basic,530,2022-06-01
Markita Hansen,Goodsilron,GTK 500,29617,2022-06-27
Marty Freudenburg,Domzoom,MG Advanced,2863,2022-06-28
Moses Frase,Codehow,MG Advanced,4109,2022-06-28
Rosie Papadopoulos,Bubba Gump,MG Special,53,2022-06-30
Cassey Cress,Umbrella Corporation,MG Advanced,3986,2022-06-15
Daniell Hammack,Donquadtech,GTXPro,5105,2022-06-05
Darcel Schlecht,Genco Pura Olive Oil Company,GTX Basic,516,2022-06-22
Darcel Schlecht,Rundofase,GTXPro,4407,2022-06-02
Donn Cantrell,Zathunicon,MG Advanced,3087,2022-06-19
James Ascencio,Hatfan,GTX Basic,463,2022-06-29
Lajuana Vencill,Rundofase,GTX Basic,524,2022-06-15
Reed Clapper,Zencorporation,GTX Plus Basic,1161,2022-06-01
Reed Clapper,Mathtouch,GTX Plus Pro,6046,2022-06-03
Anna Snelling,Hottechi,MG Advanced,3415,2022-06-26
Cassey Cress,Massive Dynamic,GTXPro,4256,2022-06-30
Gladys Colclough,Treequote,MG Advanced,4082,2022-06-02
Moses Frase,Streethex,GTX Basic,465,2022-06-14
Moses Frase,Konmatfix,MG Special,50,2022-06-14
Reed Clapper,Kan-code,MG Advanced,3558,2022-06-03
Versie Hillebrand,Warephase,MG Special,50,2022-06-16
Vicki Laflamme,Zoomit,GTX Plus Basic,1086,2022-06-01
Violet Mclelland,Umbrella Corporation,GTXPro,4756,2022-06-24
Violet Mclelland,Gekko & Co,MG Special,67,2022-06-19
Wilburn Farren,Iselectrics,MG Advanced,3783,2022-06-09
Darcel Schlecht,Codehow,GTX Plus Pro,4856,2022-06-19
Donn Cantrell,Mathtouch,GTX Basic,487,2022-06-11
Donn Cantrell,Donquadtech,GTX Plus Basic,1166,2022-06-12
Jonathan Berthelot,Scottech,GTX Basic,595,2022-06-06
Kami Bicknell,Condax,MG Special,49,2022-06-04
Anna Snelling,Rundofase,MG Special,54,2022-06-22
Boris Faz,Donquadtech,GTX Plus Pro,6173,2022-06-08
Moses Frase,Globex Corporation,GTX Plus Basic,1020,2022-06-01
Anna Snelling,Codehow,GTX Basic,522,2022-06-13
Anna Snelling,Genco Pura Olive Oil Company,MG Advanced,3081,2022-06-07
Lajuana Vencill,Funholding,GTX Basic,496,2022-06-22
Reed Clapper,Kan-code,GTX Basic,521,2022-06-27
Zane Levy,Blackzim,GTXPro,5876,2022-06-11
Daniell Hammack,Acme Corporation,GTX Plus Basic,966,2022-06-08
Hayden Neloms,Cheers,MG Advanced,3397,2022-06-28
Lajuana Vencill,Rangreen,GTX Basic,494,2022-06-06
Vicki Laflamme,Konex,GTX Basic,642,2022-06-14
Kary Hendrixson,Kan-code,GTX Basic,494,2022-06-29
Marty Freudenburg,Isdom,GTX Basic,545,2022-06-11
Maureen Marcano,Y-corporation,GTX Basic,584,2022-06-01
Moses Frase,dambase,MG Advanced,3714,2022-06-09
Anna Snelling,Globex Corporation,GTX Plus Pro,6023,2022-06-11
Donn Cantrell,Vehement Capital Partners,GTXPro,5256,2022-06-10
Elease Gluck,Hottechi,GTXPro,4327,2022-06-07
Niesha Huffines,Isdom,GTX Plus Basic,1190,2022-06-12
Cecily Lampkin,Bioholding,MG Special,59,2022-06-03
Corliss Cosme,Bubba Gump,GTX Plus Basic,857,2022-06-02
Daniell Hammack,Massive Dynamic,GTX Plus Basic,1142,2022-06-27
Hayden Neloms,Rantouch,GTX Plus Basic,1039,2022-06-16
Rosie Papadopoulos,Acme Corporation,MG Special,61,2022-06-22
Anna Snelling,Streethex,GTX Basic,595,2022-06-11
Anna Snelling,Zumgoity,MG Special,51,2022-06-01
Darcel Schlecht,Funholding,GTX Basic,571,2022-06-01
Gladys Colclough,Toughzap,MG Special,51,2022-06-08
Kami Bicknell,Cheers,GTXPro,5035,2022-06-22
Marty Freudenburg,Codehow,MG Special,51,2022-06-01
Maureen Marcano,Dalttechnology,GTXPro,4342,2022-06-09
Violet Mclelland,Vehement Capital Partners,MG Special,48,2022-06-22
Daniell Hammack,Konex,GTXPro,4762,2022-06-28
Garret Kinder,Gekko & Co,GTX Plus Basic,1062,2022-06-12
Violet Mclelland,Zencorporation,GTX Plus Basic,1074,2022-06-28
Cecily Lampkin,Rundofase,GTX Plus Basic,1184,2022-06-13
James Ascencio,J-Texon,GTX Basic,526,2022-06-10
James Ascencio,Condax,GTX Plus Pro,5344,2022-06-12
Kami Bicknell,Dalttechnology,GTX Basic,528,2022-06-06
Lajuana Vencill,Codehow,GTX Basic,459,2022-06-22
Moses Frase,Konmatfix,MG Advanced,3330,2022-06-04
Cassey Cress,Opentech,GTX Plus Pro,5664,2022-06-11
Corliss Cosme,Initech,GTX Plus Basic,1074,2022-06-11
Elease Gluck,Labdrill,GTX Plus Basic,1101,2022-06-02
Gladys Colclough,Warephase,GTX Basic,522,2022-06-23
Hayden Neloms,Y-corporation,MG Special,49,2022-06-13
Kami Bicknell,Newex,GTXPro,4865,2022-06-02
Maureen Marcano,Labdrill,GTXPro,4281,2022-06-15
